序号,类别,名称,控件ID,行,列,x_mm,y_mm,形状,半径_mm,宽度_mm,高度_mm,备注
1,试剂区,试剂_S11,svg-reagent-s11,1.0,1.0,316.25,16.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
2,试剂区,试剂_S21,svg-reagent-s21,1.0,2.0,291.25,16.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
3,试剂区,试剂_S31,svg-reagent-s31,1.0,3.0,266.25,16.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
4,试剂区,试剂_S41,svg-reagent-s41,1.0,4.0,241.25,16.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
5,试剂区,试剂_S51,svg-reagent-s51,1.0,5.0,216.25,16.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
6,试剂区,试剂_S12,svg-reagent-s12,2.0,1.0,316.25,41.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
7,试剂区,试剂_S22,svg-reagent-s22,2.0,2.0,291.25,41.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
8,试剂区,试剂_S32,svg-reagent-s32,2.0,3.0,266.25,41.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
9,试剂区,试剂_S42,svg-reagent-s42,2.0,4.0,241.25,41.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
10,试剂区,试剂_S52,svg-reagent-s52,2.0,5.0,216.25,41.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
11,试剂区,试剂_S13,svg-reagent-s13,3.0,1.0,316.25,66.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
12,试剂区,试剂_S23,svg-reagent-s23,3.0,2.0,291.25,66.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
